x,Red,Green,Blue
400.88,0.06828,0.05417,0.34055
401.494,0.06689,0.05359,0.34536
402.554,0.06458,0.05259,0.35366
402.878,0.06396,0.05228,0.3562
404.586,0.06103,0.05066,0.36965
405.644,0.05957,0.04965,0.37801
408.152,0.05688,0.04723,0.39804
408.655,0.05615,0.04674,0.4021
410.365,0.05233,0.04503,0.41594
411.177,0.05102,0.0442,0.4225
415.464,0.04513,0.04025,0.45602
416.874,0.0433,0.03942,0.46616
420.616,0.03858,0.0387,0.49111
421.843,0.03706,0.03873,0.49921
424.765,0.0334,0.03896,0.51882
425.417,0.03248,0.03901,0.52318
428.346,0.02857,0.03929,0.54231
430.822,0.02713,0.03959,0.55768
432.658,0.02614,0.03989,0.5685
436.479,0.02333,0.04082,0.58983
436.726,0.02322,0.04091,0.59116
440.129,0.02194,0.04235,0.60894
440.468,0.02103,0.04252,0.61064
444.519,0.01863,0.04437,0.6251
444.613,0.01863,0.04439,0.62537
445.187,0.01859,0.04445,0.62708
448.965,0.01843,0.04746,0.6382
454.724,0.01825,0.06559,0.65239
455.714,0.01823,0.06961,0.65397
459.655,0.01815,0.09408,0.65498
460.988,0.01812,0.11022,0.65351
462.05,0.01811,0.12612,0.65256
465.016,0.01807,0.17356,0.64765
465.904,0.01806,0.18899,0.64451
469.29,0.01802,0.25382,0.62847
470.445,0.01801,0.27924,0.62244
472.468,0.018,0.34247,0.61098
473.279,0.018,0.37079,0.60623
474.937,0.01799,0.42024,0.59639
479.273,0.01799,0.52126,0.56974
482.563,0.018,0.57944,0.54768
483.734,0.01801,0.59843,0.53866
484.789,0.01802,0.61836,0.52924
486.392,0.01804,0.65034,0.51113
486.573,0.01804,0.65359,0.50916
489.081,0.01807,0.69563,0.48387
490.629,0.0181,0.71889,0.46399
492.016,0.01814,0.73756,0.44878
495.054,0.01824,0.77185,0.42488
495.218,0.01825,0.77349,0.42362
496.822,0.02232,0.78863,0.4104
496.926,0.02119,0.78955,0.40947
500.335,0.0248,0.81626,0.37427
501.874,0.02583,0.8266,0.35747
502.213,0.02609,0.82877,0.35389
506.681,0.03251,0.85372,0.3104
506.726,0.03259,0.85394,0.30998
508.381,0.03494,0.86152,0.29418
510.712,0.0381,0.87083,0.27163
512.425,0.04128,0.87698,0.25478
514.371,0.04533,0.88354,0.23553
517.355,0.05062,0.89332,0.20931
517.828,0.05145,0.8949,0.20586
518.056,0.05186,0.89567,0.20427
520.593,0.0561,0.90443,0.18875
523.033,0.05794,0.91271,0.17557
523.055,0.05796,0.91278,0.17546
524.741,0.05893,0.91787,0.1665
526.228,0.05894,0.92149,0.15878
530.273,0.05809,0.92589,0.13931
531.278,0.05724,0.92608,0.13488
532.817,0.05453,0.92616,0.12841
533.203,0.05394,0.92618,0.12684
538.186,0.04796,0.92727,0.10796
539.264,0.04674,0.92744,0.10414
541.665,0.04308,0.9262,0.09594
541.765,0.04286,0.92606,0.09561
542.674,0.04093,0.92443,0.09261
544.228,0.03832,0.92061,0.08757
546.282,0.03671,0.91494,0.08112
546.954,0.03649,0.91306,0.07905
549.435,0.03625,0.90603,0.07159
553.01,0.03627,0.89546,0.06145
553.624,0.03627,0.89357,0.05983
555.398,0.03628,0.88795,0.05574
556.96,0.03676,0.88273,0.05312
558.3,0.03875,0.87805,0.05108
558.911,0.04019,0.87584,0.05013
561.025,0.04741,0.86794,0.04689
562.487,0.06185,0.86221,0.04475
563.375,0.07094,0.85862,0.0435
563.868,0.07628,0.85659,0.04282
564.761,0.08949,0.85283,0.04163
566.772,0.11638,0.84367,0.03913
568.15,0.1512,0.83668,0.03755
568.911,0.17021,0.83259,0.03674
569.222,0.17678,0.83088,0.03641
570.952,0.21531,0.82107,0.03473
571.111,0.21992,0.82015,0.03458
571.671,0.24858,0.8169,0.03408
573.507,0.29789,0.80606,0.03258
574.933,0.35782,0.79754,0.03152
575.466,0.3766,0.79434,0.03114
576.513,0.41067,0.78803,0.03044
577.785,0.46213,0.78011,0.02962
579.622,0.51498,0.7672,0.02851
580.189,0.53262,0.76256,0.02818
581.813,0.58893,0.74724,0.02727
582.322,0.61389,0.74199,0.02699
